0	1	2
FOXP1	A2ML1-AS1	1.0
FOXP4	A2ML1-AS1	1.0
GATA4	A2ML1-AS1	1.0
HMG20B	A2ML1-AS1	1.0
HOXB3	A2ML1-AS1	1.0
IRF5	A2ML1-AS1	1.0
LIN54	A2ML1-AS1	1.0
MAZ	A2ML1-AS1	1.0
NR2F2	A2ML1-AS1	1.0
PAX9	A2ML1-AS1	1.0
PPARA	A2ML1-AS1	1.0
PURA	A2ML1-AS1	1.0
SPI1	A2ML1-AS1	1.0
SPIB	A2ML1-AS1	1.0
SPIC	A2ML1-AS1	1.0
STAT2	A2ML1-AS1	1.0
TBX2	A2ML1-AS1	1.0
TBX20	A2ML1-AS1	1.0
TBX3	A2ML1-AS1	1.0
TBX4	A2ML1-AS1	1.0
TBX5	A2ML1-AS1	1.0
VSX1	A2ML1-AS1	1.0
VSX2	A2ML1-AS1	1.0
ZNF148	A2ML1-AS1	1.0
ZNF35	A2ML1-AS1	1.0
ARID3A	A2MP1	1.0
BARHL2	A2MP1	1.0
BARX1	A2MP1	1.0
BATF	A2MP1	1.0
BCL11A	A2MP1	1.0
BPTF	A2MP1	1.0
CDX1	A2MP1	1.0
CDX2	A2MP1	1.0
CEBPB	A2MP1	1.0
CPEB1	A2MP1	1.0
CUX1	A2MP1	1.0
CUX2	A2MP1	1.0
DLX1	A2MP1	1.0
DLX2	A2MP1	1.0
DLX5	A2MP1	1.0
DMRT3	A2MP1	1.0
DMRTA2	A2MP1	1.0
DMRTC2	A2MP1	1.0
ESRRB	A2MP1	1.0
ETV7	A2MP1	1.0
FERD3L	A2MP1	1.0
FOXA2	A2MP1	1.0
FOXA3	A2MP1	1.0
FOXB1	A2MP1	1.0
FOXD2	A2MP1	1.0
FOXD3	A2MP1	1.0
FOXF1	A2MP1	1.0
FOXG1	A2MP1	1.0
FOXM1	A2MP1	1.0
FOXP1	A2MP1	1.0
FOXP4	A2MP1	1.0
FUBP1	A2MP1	1.0
GATA2	A2MP1	1.0
GATA5	A2MP1	1.0
GFI1	A2MP1	1.0
HMG20B	A2MP1	1.0
HMGA2	A2MP1	1.0
HOXB6	A2MP1	1.0
HOXB7	A2MP1	1.0
HOXB8	A2MP1	1.0
HOXC10	A2MP1	1.0
HOXC6	A2MP1	1.0
HOXD8	A2MP1	1.0
HOXD9	A2MP1	1.0
ID4	A2MP1	1.0
IRF5	A2MP1	1.0
LHX1	A2MP1	1.0
MEF2A	A2MP1	1.0
MEF2C	A2MP1	1.0
MEIS1	A2MP1	1.0
MEIS3	A2MP1	1.0
MEOX2	A2MP1	1.0
MESP1	A2MP1	1.0
MSX1	A2MP1	1.0
MSX2	A2MP1	1.0
MYF5	A2MP1	1.0
NFATC4	A2MP1	1.0
NFE2L2	A2MP1	1.0
NKX6-1	A2MP1	1.0
NR5A1	A2MP1	1.0
ONECUT1	A2MP1	1.0
ONECUT2	A2MP1	1.0
ONECUT3	A2MP1	1.0
OTX1	A2MP1	1.0
PAX4	A2MP1	1.0
PBX1	A2MP1	1.0
PBX3	A2MP1	1.0
PITX2	A2MP1	1.0
PKNOX1	A2MP1	1.0
POU1F1	A2MP1	1.0
POU2F1	A2MP1	1.0
POU2F2	A2MP1	1.0
POU2F3	A2MP1	1.0
POU3F1	A2MP1	1.0
POU3F3	A2MP1	1.0
POU3F4	A2MP1	1.0
POU4F1	A2MP1	1.0
POU4F3	A2MP1	1.0
POU5F1B	A2MP1	1.0
PRKRIR	A2MP1	1.0
RARG	A2MP1	1.0
RORA	A2MP1	1.0
SMAD1	A2MP1	1.0
SOX3	A2MP1	1.0
SOX30	A2MP1	1.0
SOX7	A2MP1	1.0
SPI1	A2MP1	1.0
SPIB	A2MP1	1.0
SPIC	A2MP1	1.0
SREBF1	A2MP1	1.0
STAT2	A2MP1	1.0
STAT4	A2MP1	1.0
TBP	A2MP1	1.0
TBPL2	A2MP1	1.0
TBX19	A2MP1	1.0
TBX3	A2MP1	1.0
TGIF1	A2MP1	1.0
TGIF2	A2MP1	1.0
TP63	A2MP1	1.0
ZNF232	A2MP1	1.0
ZNF263	A2MP1	1.0
ZNF35	A2MP1	1.0
E2F6	A3GALT2	1.0
ESRRB	A3GALT2	1.0
ETS1	A3GALT2	1.0
FOXB1	A3GALT2	1.0
FOXD2	A3GALT2	1.0
FOXD3	A3GALT2	1.0
FOXL1	A3GALT2	1.0
GFI1	A3GALT2	1.0
GMEB1	A3GALT2	1.0
IRF3	A3GALT2	1.0
MAFK	A3GALT2	1.0
MAZ	A3GALT2	1.0
NFATC1	A3GALT2	1.0
NFE2L1	A3GALT2	1.0
NHLH1	A3GALT2	1.0
NHLH2	A3GALT2	1.0
NKX2-1	A3GALT2	1.0
NKX2-3	A3GALT2	1.0
NR2F2	A3GALT2	1.0
NR4A3	A3GALT2	1.0
NR5A1	A3GALT2	1.0
NR5A2	A3GALT2	1.0
PAX4	A3GALT2	1.0
PTF1A	A3GALT2	1.0
RARB	A3GALT2	1.0
RARG	A3GALT2	1.0
RORA	A3GALT2	1.0
SP1	A3GALT2	1.0
THRB	A3GALT2	1.0
YBX1	A3GALT2	1.0
ZEB1	A3GALT2	1.0
ZNF274	A3GALT2	1.0
ARID3A	A4GALT	1.0
BPTF	A4GALT	1.0
CEBPB	A4GALT	1.0
CREM	A4GALT	1.0
CTCFL	A4GALT	1.0
DMRT3	A4GALT	1.0
ESR2	A4GALT	1.0
FOXC2	A4GALT	1.0
FOXM1	A4GALT	1.0
FOXP1	A4GALT	1.0
FOXP4	A4GALT	1.0
HOXD9	A4GALT	1.0
KLF13	A4GALT	1.0
MEF2B	A4GALT	1.0
MEF2C	A4GALT	1.0
MEF2D	A4GALT	1.0
NR1I2	A4GALT	1.0
NR2E1	A4GALT	1.0
NR2E3	A4GALT	1.0
NR6A1	A4GALT	1.0
PITX2	A4GALT	1.0
PLAG1	A4GALT	1.0
POU6F1	A4GALT	1.0
